holdout_session,n_train_sessions,combo_index,train_sessions,model_seed,commit_sha,n_training_windows,n_training_stop,n_training_walk,selected_features,raw_accuracy,raw_balanced_accuracy,accuracy,balanced_accuracy,walk_recall,stop_recall,walk_support,stop_support,n_windows,dominant_fraction,collapse_warning
ses-01,1,1,ses-02,42,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,84;13;83;82;40;67;19;18;23;10;6;1;75;21;2;11;22;26;48;15;3;81;17;5;7,0.8367346938775511,0.844876381694879,0.8438775510204082,0.8533356472828892,0.8907103825136612,0.8159609120521173,366,614,980,0.5520408163265306,False
ses-01,1,1,ses-02,123,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,84;13;83;82;40;67;19;18;23;10;6;1;75;21;2;11;22;26;48;15;3;81;17;5;7,0.8367346938775511,0.844876381694879,0.8438775510204082,0.8533356472828892,0.8907103825136612,0.8159609120521173,366,614,980,0.5520408163265306,False
ses-01,1,1,ses-02,2026,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,84;13;83;82;40;67;19;18;23;10;6;1;75;21;2;11;22;26;48;15;3;81;17;5;7,0.8367346938775511,0.844876381694879,0.8438775510204082,0.8533356472828892,0.8907103825136612,0.8159609120521173,366,614,980,0.5520408163265306,False
ses-01,1,2,ses-04,42,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;40;67;10;82;84;83;19;18;37;6;1;15;20;21;52;64;42;2;11;36;23;39;73;75,0.8673469387755102,0.8819974724551005,0.8755102040816326,0.889615706377601,0.9453551912568307,0.8338762214983714,366,614,980,0.5428571428571428,False
ses-01,1,2,ses-04,123,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;40;67;10;82;84;83;19;18;37;6;1;15;20;21;52;64;42;2;11;36;23;39;73;75,0.8673469387755102,0.8819974724551005,0.8755102040816326,0.889615706377601,0.9453551912568307,0.8338762214983714,366,614,980,0.5428571428571428,False
ses-01,1,2,ses-04,2026,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;40;67;10;82;84;83;19;18;37;6;1;15;20;21;52;64;42;2;11;36;23;39;73;75,0.8673469387755102,0.8819974724551005,0.8755102040816326,0.889615706377601,0.9453551912568307,0.8338762214983714,366,614,980,0.5428571428571428,False
ses-01,1,3,ses-05,42,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;67;40;79;10;25;66;52;64;37;8;39;12;82;43;70;84;83;46;45;62;20;19;73;18,0.7938775510204081,0.8139851551236184,0.810204081632653,0.8314287748527083,0.9153005464480874,0.747557003257329,366,614,980,0.5,False
ses-01,1,3,ses-05,123,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;67;40;79;10;25;66;52;64;37;8;39;12;82;43;70;84;83;46;45;62;20;19;73;18,0.7938775510204081,0.8139851551236184,0.810204081632653,0.8314287748527083,0.9153005464480874,0.747557003257329,366,614,980,0.5,False
ses-01,1,3,ses-05,2026,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;67;40;79;10;25;66;52;64;37;8;39;12;82;43;70;84;83;46;45;62;20;19;73;18,0.7938775510204081,0.8139851551236184,0.810204081632653,0.8314287748527083,0.9153005464480874,0.747557003257329,366,614,980,0.5,False
ses-01,2,1,ses-02;ses-03,42,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;84;82;67;40;10;19;18;21;23;1;6;22;2;11;75;83;48;26;15;73;3;72;64;7,0.8459183673469388,0.8560678877200477,0.8479591836734693,0.858248340186184,0.8989071038251366,0.8175895765472313,366,614,980,0.55,False
ses-01,2,1,ses-02;ses-03,123,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;84;82;67;40;10;19;18;21;23;1;6;22;2;11;75;83;48;26;15;73;3;72;64;7,0.8459183673469388,0.8560678877200477,0.8479591836734693,0.858248340186184,0.8989071038251366,0.8175895765472313,366,614,980,0.55,False
ses-01,2,1,ses-02;ses-03,2026,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;84;82;67;40;10;19;18;21;23;1;6;22;2;11;75;83;48;26;15;73;3;72;64;7,0.8459183673469388,0.8560678877200477,0.8479591836734693,0.858248340186184,0.8989071038251366,0.8175895765472313,366,614,980,0.55,False
ses-01,2,2,ses-04;ses-05,42,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;67;10;52;64;37;83;82;84;25;19;39;18;20;66;79;21;6;1;46;45;73;72;11,0.8806122448979592,0.8947909435574304,0.889795918367347,0.9048788736405546,0.9644808743169399,0.8452768729641694,366,614,980,0.5428571428571428,False
ses-01,2,2,ses-04;ses-05,123,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;67;10;52;64;37;83;82;84;25;19;39;18;20;66;79;21;6;1;46;45;73;72;11,0.8806122448979592,0.8947909435574304,0.889795918367347,0.9048788736405546,0.9644808743169399,0.8452768729641694,366,614,980,0.5428571428571428,False
ses-01,2,2,ses-04;ses-05,2026,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;67;10;52;64;37;83;82;84;25;19;39;18;20;66;79;21;6;1;46;45;73;72;11,0.8806122448979592,0.8947909435574304,0.889795918367347,0.9048788736405546,0.9644808743169399,0.8452768729641694,366,614,980,0.5428571428571428,False
ses-01,2,3,ses-04;ses-06,42,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;82;84;10;67;23;6;1;83;19;18;11;2;15;26;37;64;20;52;73;36;72;43;7,0.8275510204081633,0.8369956034958438,0.8387755102040816,0.8476086221320376,0.8825136612021858,0.8127035830618893,366,614,980,0.5530612244897959,False
ses-01,2,3,ses-04;ses-06,123,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;82;84;10;67;23;6;1;83;19;18;11;2;15;26;37;64;20;52;73;36;72;43;7,0.8275510204081633,0.8369956034958438,0.8387755102040816,0.8476086221320376,0.8825136612021858,0.8127035830618893,366,614,980,0.5530612244897959,False
ses-01,2,3,ses-04;ses-06,2026,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;82;84;10;67;23;6;1;83;19;18;11;2;15;26;37;64;20;52;73;36;72;43;7,0.8275510204081633,0.8369956034958438,0.8387755102040816,0.8476086221320376,0.8825136612021858,0.8127035830618893,366,614,980,0.5530612244897959,False
ses-01,4,1,ses-02;ses-05;ses-06;ses-07,42,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;84;40;67;82;10;83;1;6;19;18;64;2;11;37;26;23;20;43;73;72;79;52;3;74,0.8326530612244898,0.8465851444438511,0.8397959183673469,0.8550444100318613,0.9153005464480874,0.7947882736156352,366,614,980,0.5295918367346939,False
ses-01,4,1,ses-02;ses-05;ses-06;ses-07,123,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;84;40;67;82;10;83;1;6;19;18;64;2;11;37;26;23;20;43;73;72;79;52;3;74,0.8326530612244898,0.8465851444438511,0.8397959183673469,0.8550444100318613,0.9153005464480874,0.7947882736156352,366,614,980,0.5295918367346939,False
ses-01,4,1,ses-02;ses-05;ses-06;ses-07,2026,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;84;40;67;82;10;83;1;6;19;18;64;2;11;37;26;23;20;43;73;72;79;52;3;74,0.8326530612244898,0.8465851444438511,0.8397959183673469,0.8550444100318613,0.9153005464480874,0.7947882736156352,366,614,980,0.5295918367346939,False
ses-01,4,2,ses-03;ses-05;ses-06;ses-07,42,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;40;67;10;84;82;64;1;6;19;18;2;11;37;83;52;79;26;73;20;23;72;43;66;9,0.8346938775510204,0.8404887773446539,0.8428571428571429,0.849762375180221,0.8770491803278688,0.8224755700325733,366,614,980,0.5612244897959183,False
