holdout_session,n_train_sessions,combo_index,train_sessions,n_seeds,balanced_accuracy_seed_range,all_selected_feature_sets_identical
ses-01,1,1,ses-02,3,0.0,True
ses-01,1,2,ses-04,3,0.0,True
ses-01,1,3,ses-05,3,0.0,True
ses-01,2,1,ses-02;ses-03,3,0.0,True
ses-01,2,2,ses-04;ses-05,3,0.0,True
ses-01,2,3,ses-04;ses-06,3,0.0,True
ses-01,4,1,ses-02;ses-05;ses-06;ses-07,3,0.0,True
ses-01,4,2,ses-03;ses-05;ses-06;ses-07,3,0.0,True
ses-01,4,3,ses-03;ses-05;ses-06;ses-08,3,0.0,True
ses-01,7,1,ses-02;ses-03;ses-04;ses-05;ses-06;ses-07;ses-08,3,0.0,True
ses-02,1,1,ses-03,3,0.0,True
ses-02,1,2,ses-06,3,0.0,True
ses-02,1,3,ses-07,3,0.0,True
ses-02,2,1,ses-03;ses-04,3,0.0,True
ses-02,2,2,ses-04;ses-05,3,0.0,True
ses-02,2,3,ses-04;ses-08,3,0.0,True
ses-02,4,1,ses-01;ses-03;ses-04;ses-07,3,0.0,True
ses-02,4,2,ses-01;ses-05;ses-06;ses-08,3,0.0,True
ses-02,4,3,ses-03;ses-05;ses-06;ses-08,3,0.0,True
ses-02,7,1,ses-01;ses-03;ses-04;ses-05;ses-06;ses-07;ses-08,3,0.0,True
ses-03,1,1,ses-02,3,0.0,True
ses-03,1,2,ses-05,3,0.0,True
ses-03,1,3,ses-06,3,0.0,True
ses-03,2,1,ses-01;ses-08,3,0.0,True
ses-03,2,2,ses-05;ses-06,3,0.0,True
ses-03,2,3,ses-07;ses-08,3,0.0,True
ses-03,4,1,ses-01;ses-04;ses-07;ses-08,3,0.0,True
ses-03,4,2,ses-01;ses-05;ses-06;ses-08,3,0.0,True
ses-03,4,3,ses-02;ses-04;ses-06;ses-08,3,0.0,True
ses-03,7,1,ses-01;ses-02;ses-04;ses-05;ses-06;ses-07;ses-08,3,0.0,True
ses-04,1,1,ses-03,3,0.0,True
ses-04,1,2,ses-07,3,0.0,True
ses-04,1,3,ses-08,3,0.0,True
ses-04,2,1,ses-01;ses-06,3,0.0,True
ses-04,2,2,ses-05;ses-08,3,0.0,True
ses-04,2,3,ses-07;ses-08,3,0.0,True
ses-04,4,1,ses-01;ses-02;ses-05;ses-07,3,0.0,True
ses-04,4,2,ses-01;ses-03;ses-05;ses-07,3,0.0,True
ses-04,4,3,ses-03;ses-05;ses-06;ses-07,3,0.0,True
ses-04,7,1,ses-01;ses-02;ses-03;ses-05;ses-06;ses-07;ses-08,3,0.0,True
ses-05,1,1,ses-01,3,0.0,True
ses-05,1,2,ses-02,3,0.0,True
ses-05,1,3,ses-03,3,0.0,True
ses-05,2,1,ses-01;ses-03,3,0.0,True
ses-05,2,2,ses-04;ses-06,3,0.0,True
ses-05,2,3,ses-06;ses-08,3,0.0,True
ses-05,4,1,ses-01;ses-03;ses-04;ses-06,3,0.0,True
ses-05,4,2,ses-02;ses-03;ses-07;ses-08,3,0.0,True
ses-05,4,3,ses-02;ses-04;ses-06;ses-08,3,0.0,True
ses-05,7,1,ses-01;ses-02;ses-03;ses-04;ses-06;ses-07;ses-08,3,0.0,True
ses-06,1,1,ses-01,3,0.0,True
ses-06,1,2,ses-03,3,0.0,True
ses-06,1,3,ses-05,3,0.0,True
ses-06,2,1,ses-01;ses-02,3,0.0,True
ses-06,2,2,ses-02;ses-07,3,0.0,True
ses-06,2,3,ses-03;ses-08,3,0.0,True
ses-06,4,1,ses-01;ses-02;ses-07;ses-08,3,0.0,True
ses-06,4,2,ses-02;ses-04;ses-05;ses-07,3,0.0,True
ses-06,4,3,ses-03;ses-04;ses-05;ses-08,3,0.0,True
ses-06,7,1,ses-01;ses-02;ses-03;ses-04;ses-05;ses-07;ses-08,3,0.0,True
ses-07,1,1,ses-02,3,0.0,True
ses-07,1,2,ses-03,3,0.0,True
ses-07,1,3,ses-04,3,0.0,True
ses-07,2,1,ses-01;ses-04,3,0.0,True
ses-07,2,2,ses-03;ses-06,3,0.0,True
ses-07,2,3,ses-03;ses-08,3,0.0,True
ses-07,4,1,ses-02;ses-03;ses-04;ses-08,3,0.0,True
ses-07,4,2,ses-03;ses-04;ses-05;ses-08,3,0.0,True
ses-07,4,3,ses-04;ses-05;ses-06;ses-08,3,0.0,True
ses-07,7,1,ses-01;ses-02;ses-03;ses-04;ses-05;ses-06;ses-08,3,0.0,True
ses-08,1,1,ses-04,3,0.0,True
ses-08,1,2,ses-05,3,0.0,True
ses-08,1,3,ses-06,3,0.0,True
ses-08,2,1,ses-01;ses-04,3,0.0,True
ses-08,2,2,ses-01;ses-05,3,0.0,True
ses-08,2,3,ses-05;ses-07,3,0.0,True
ses-08,4,1,ses-02;ses-04;ses-05;ses-07,3,0.0,True
ses-08,4,2,ses-02;ses-05;ses-06;ses-07,3,0.0,True
ses-08,4,3,ses-03;ses-05;ses-06;ses-07,3,0.0,True
ses-08,7,1,ses-01;ses-02;ses-03;ses-04;ses-05;ses-06;ses-07,3,0.0,True
