window_index,start_time,end_time,command,confidence,ground_truth
0,0.00,3.00,STOP,0.8914,STOP
1,0.25,3.25,STOP,0.9920,STOP
2,0.50,3.50,STOP,0.9965,STOP
3,0.75,3.75,STOP,0.9917,STOP
4,1.00,4.00,STOP,0.9844,STOP
5,1.25,4.25,STOP,0.9855,STOP
6,1.50,4.50,STOP,0.9809,STOP
7,1.75,4.75,STOP,0.9707,STOP
8,2.00,5.00,STOP,0.9551,STOP
9,2.25,5.25,STOP,0.9006,STOP
10,2.50,5.50,STOP,0.9015,STOP
11,2.75,5.75,STOP,0.8438,STOP
12,3.00,6.00,STOP,0.8604,STOP
13,3.25,6.25,STOP,0.6470,STOP
14,3.50,6.50,WALK,0.6027,STOP
15,3.75,6.75,WALK,0.6377,STOP
16,4.00,7.00,WALK,0.6958,STOP
17,4.25,7.25,WALK,0.7452,STOP
18,4.50,7.50,WALK,0.7748,STOP
19,4.75,7.75,WALK,0.6730,STOP
20,5.00,8.00,WALK,0.6009,STOP
21,5.25,8.25,STOP,0.8149,STOP
22,5.50,8.50,STOP,0.8990,STOP
23,5.75,8.75,STOP,0.9285,STOP
24,6.00,9.00,STOP,0.9458,STOP
25,6.25,9.25,STOP,0.9614,STOP
26,6.50,9.50,STOP,0.9501,STOP
27,6.75,9.75,STOP,0.9499,STOP
28,7.00,10.00,STOP,0.9477,STOP
29,7.25,10.25,STOP,0.9775,STOP
30,7.50,10.50,STOP,0.9773,STOP
31,7.75,10.75,STOP,0.9077,STOP
32,8.00,11.00,STOP,0.9454,STOP
33,8.25,11.25,STOP,0.9615,STOP
34,8.50,11.50,STOP,0.9580,STOP
35,8.75,11.75,STOP,0.9230,STOP
36,9.00,12.00,STOP,0.8957,STOP
37,9.25,12.25,STOP,0.8526,STOP
38,9.50,12.50,STOP,0.8475,STOP
39,9.75,12.75,STOP,0.8164,STOP
40,10.00,13.00,STOP,0.6525,STOP
41,10.25,13.25,STOP,0.6306,STOP
42,10.50,13.50,STOP,0.5270,STOP
43,10.75,13.75,STOP,0.6424,STOP
44,11.00,14.00,STOP,0.6082,STOP
45,11.25,14.25,STOP,0.6420,STOP
46,11.50,14.50,STOP,0.6903,STOP
47,11.75,14.75,STOP,0.8896,STOP
48,12.00,15.00,STOP,0.8914,STOP
49,12.25,15.25,STOP,0.8453,STOP
50,12.50,15.50,STOP,0.8497,STOP
51,12.75,15.75,STOP,0.8529,STOP
52,13.00,16.00,STOP,0.9614,STOP
53,13.25,16.25,STOP,0.9699,STOP
54,13.50,16.50,STOP,0.9730,STOP
55,13.75,16.75,STOP,0.9692,STOP
56,14.00,17.00,STOP,0.9555,STOP
57,14.25,17.25,STOP,0.9140,STOP
58,14.50,17.50,STOP,0.9230,STOP
59,14.75,17.75,STOP,0.9254,STOP
60,15.00,18.00,STOP,0.9168,STOP
61,15.25,18.25,STOP,0.8671,STOP
62,15.50,18.50,STOP,0.5717,STOP
