window_index,start_time,end_time,command,confidence,ground_truth
0,0.00,3.00,WALK,0.5919,STOP
1,0.25,3.25,WALK,0.6499,STOP
2,0.50,3.50,STOP,0.6456,STOP
3,0.75,3.75,STOP,0.9432,STOP
4,1.00,4.00,STOP,0.9249,STOP
5,1.25,4.25,STOP,0.9390,STOP
6,1.50,4.50,STOP,0.9322,STOP
7,1.75,4.75,STOP,0.9299,STOP
8,2.00,5.00,STOP,0.9463,STOP
9,2.25,5.25,STOP,0.9717,STOP
10,2.50,5.50,STOP,0.9628,STOP
11,2.75,5.75,STOP,0.9454,STOP
12,3.00,6.00,STOP,0.9481,STOP
13,3.25,6.25,STOP,0.9632,STOP
14,3.50,6.50,STOP,0.9421,STOP
15,3.75,6.75,STOP,0.9260,STOP
16,4.00,7.00,STOP,0.9557,STOP
17,4.25,7.25,STOP,0.9612,STOP
18,4.50,7.50,STOP,0.9754,STOP
19,4.75,7.75,STOP,0.9779,STOP
20,5.00,8.00,STOP,0.9741,STOP
21,5.25,8.25,STOP,0.9574,STOP
22,5.50,8.50,STOP,0.9442,STOP
23,5.75,8.75,STOP,0.9435,STOP
24,6.00,9.00,STOP,0.9631,STOP
25,6.25,9.25,STOP,0.9566,STOP
26,6.50,9.50,STOP,0.9598,STOP
27,6.75,9.75,STOP,0.9887,STOP
28,7.00,10.00,STOP,0.9922,STOP
29,7.25,10.25,STOP,0.9891,STOP
30,7.50,10.50,STOP,0.9897,STOP
31,7.75,10.75,STOP,0.9898,STOP
32,8.00,11.00,STOP,0.9858,STOP
33,8.25,11.25,STOP,0.9874,STOP
34,8.50,11.50,STOP,0.9799,STOP
35,8.75,11.75,STOP,0.9769,STOP
36,9.00,12.00,STOP,0.9521,STOP
37,9.25,12.25,STOP,0.9052,STOP
38,9.50,12.50,STOP,0.8963,STOP
39,9.75,12.75,STOP,0.9304,STOP
40,10.00,13.00,STOP,0.9590,STOP
41,10.25,13.25,STOP,0.9730,STOP
42,10.50,13.50,STOP,0.9734,STOP
43,10.75,13.75,STOP,0.9292,STOP
44,11.00,14.00,STOP,0.8951,STOP
45,11.25,14.25,STOP,0.8551,STOP
46,11.50,14.50,STOP,0.9658,STOP
47,11.75,14.75,STOP,0.9866,STOP
48,12.00,15.00,STOP,0.9882,STOP
49,12.25,15.25,STOP,0.9941,STOP
50,12.50,15.50,STOP,0.9965,STOP
51,12.75,15.75,STOP,0.9831,STOP
52,13.00,16.00,STOP,0.9677,STOP
53,13.25,16.25,STOP,0.9556,STOP
54,13.50,16.50,STOP,0.9842,STOP
55,13.75,16.75,STOP,0.9919,STOP
56,14.00,17.00,STOP,0.9823,STOP
57,14.25,17.25,STOP,0.9189,STOP
58,14.50,17.50,STOP,0.7936,STOP
59,14.75,17.75,STOP,0.7968,STOP
60,15.00,18.00,STOP,0.8638,STOP
61,15.25,18.25,STOP,0.9037,STOP
62,15.50,18.50,STOP,0.9674,STOP
63,15.75,18.75,STOP,0.9880,STOP
64,16.00,19.00,STOP,0.9901,STOP
65,16.25,19.25,STOP,0.9938,STOP
66,16.50,19.50,STOP,0.9964,STOP
67,16.75,19.75,STOP,0.9970,STOP
68,17.00,20.00,STOP,0.9987,STOP
69,17.25,20.25,STOP,0.9987,STOP
70,17.50,20.50,STOP,0.9985,STOP
71,17.75,20.75,STOP,0.9979,STOP
72,18.00,21.00,STOP,0.9967,STOP
73,18.25,21.25,STOP,0.9906,STOP
74,18.50,21.50,STOP,0.9889,STOP
75,18.75,21.75,STOP,0.9869,STOP
76,19.00,22.00,STOP,0.9851,STOP
77,19.25,22.25,STOP,0.9886,STOP
78,19.50,22.50,STOP,0.9920,STOP
79,19.75,22.75,STOP,0.9923,STOP
80,20.00,23.00,STOP,0.9922,STOP
81,20.25,23.25,STOP,0.9928,STOP
82,20.50,23.50,STOP,0.9927,STOP
83,20.75,23.75,STOP,0.9851,STOP
84,21.00,24.00,STOP,0.9920,STOP
85,21.25,24.25,STOP,0.9946,STOP
86,21.50,24.50,STOP,0.9922,STOP
87,21.75,24.75,STOP,0.9879,STOP
88,22.00,25.00,STOP,0.9941,STOP
89,22.25,25.25,STOP,0.9959,STOP
90,22.50,25.50,STOP,0.9965,STOP
91,22.75,25.75,STOP,0.9903,STOP
92,23.00,26.00,STOP,0.9906,STOP
93,23.25,26.25,STOP,0.9899,STOP
94,23.50,26.50,STOP,0.9915,STOP
95,23.75,26.75,STOP,0.9902,STOP
96,24.00,27.00,STOP,0.9679,STOP
97,24.25,27.25,STOP,0.9131,STOP
98,24.50,27.50,STOP,0.8251,STOP
99,24.75,27.75,STOP,0.8718,STOP
100,25.00,28.00,STOP,0.9172,STOP
101,25.25,28.25,STOP,0.9536,STOP
102,25.50,28.50,STOP,0.9665,STOP
103,25.75,28.75,STOP,0.9744,STOP
104,26.00,29.00,STOP,0.9653,STOP
105,26.25,29.25,STOP,0.9551,STOP
106,26.50,29.50,STOP,0.9666,STOP
107,26.75,29.75,STOP,0.9750,STOP
108,27.00,30.00,STOP,0.9818,STOP
109,27.25,30.25,STOP,0.9864,STOP
110,27.50,30.50,STOP,0.9934,STOP
111,27.75,30.75,STOP,0.9959,STOP
112,28.00,31.00,STOP,0.9927,STOP
113,28.25,31.25,STOP,0.9942,STOP
114,28.50,31.50,STOP,0.9938,STOP
115,28.75,31.75,STOP,0.9786,STOP
116,29.00,32.00,STOP,0.9175,STOP
117,29.25,32.25,STOP,0.9481,STOP
118,29.50,32.50,STOP,0.9667,STOP
119,29.75,32.75,STOP,0.9577,STOP
120,30.00,33.00,STOP,0.9516,STOP
121,30.25,33.25,STOP,0.9370,STOP
122,30.50,33.50,STOP,0.9097,STOP
123,30.75,33.75,STOP,0.8939,STOP
124,31.00,34.00,STOP,0.9624,STOP
125,31.25,34.25,STOP,0.9660,STOP
126,31.50,34.50,STOP,0.9427,STOP
127,31.75,34.75,STOP,0.9254,STOP
128,32.00,35.00,STOP,0.9573,STOP
129,32.25,35.25,STOP,0.9661,STOP
130,32.50,35.50,STOP,0.9679,STOP
131,32.75,35.75,STOP,0.9884,STOP
132,33.00,36.00,STOP,0.9967,STOP
133,33.25,36.25,STOP,0.9959,STOP
134,33.50,36.50,STOP,0.9979,STOP
135,33.75,36.75,STOP,0.9982,STOP
136,34.00,37.00,STOP,0.9975,STOP
137,34.25,37.25,STOP,0.9971,STOP
138,34.50,37.50,STOP,0.9976,STOP
139,34.75,37.75,STOP,0.9983,STOP
140,35.00,38.00,STOP,0.9980,STOP
141,35.25,38.25,STOP,0.9972,STOP
142,35.50,38.50,STOP,0.9908,STOP
143,35.75,38.75,STOP,0.9648,STOP
144,36.00,39.00,STOP,0.9760,STOP
145,36.25,39.25,STOP,0.9746,STOP
146,36.50,39.50,STOP,0.9537,STOP
147,36.75,39.75,STOP,0.9588,STOP
148,37.00,40.00,STOP,0.9543,STOP
149,37.25,40.25,STOP,0.9630,STOP
150,37.50,40.50,STOP,0.9590,STOP
151,37.75,40.75,STOP,0.9376,STOP
152,38.00,41.00,STOP,0.8871,STOP
153,38.25,41.25,STOP,0.9628,STOP
154,38.50,41.50,STOP,0.8863,STOP
155,38.75,41.75,STOP,0.9587,STOP
156,39.00,42.00,STOP,0.9693,STOP
157,39.25,42.25,STOP,0.9636,STOP
158,39.50,42.50,STOP,0.9754,STOP
159,39.75,42.75,STOP,0.9619,STOP
160,40.00,43.00,STOP,0.9704,STOP
161,40.25,43.25,STOP,0.9820,STOP
162,40.50,43.50,STOP,0.9098,STOP
163,40.75,43.75,STOP,0.9664,STOP
164,41.00,44.00,STOP,0.9844,STOP
165,41.25,44.25,STOP,0.9876,STOP
166,41.50,44.50,STOP,0.9846,STOP
167,41.75,44.75,STOP,0.9711,STOP
168,42.00,45.00,STOP,0.9580,STOP
169,42.25,45.25,STOP,0.9491,STOP
170,42.50,45.50,STOP,0.9319,STOP
171,42.75,45.75,STOP,0.9429,STOP
172,43.00,46.00,STOP,0.9638,STOP
173,43.25,46.25,STOP,0.9708,STOP
174,43.50,46.50,STOP,0.9446,STOP
175,43.75,46.75,STOP,0.9832,STOP
176,44.00,47.00,STOP,0.9876,STOP
177,44.25,47.25,STOP,0.9835,STOP
178,44.50,47.50,STOP,0.9695,STOP
179,44.75,47.75,STOP,0.9838,STOP
180,45.00,48.00,STOP,0.9839,STOP
181,45.25,48.25,STOP,0.9783,STOP
182,45.50,48.50,STOP,0.9710,STOP
183,45.75,48.75,STOP,0.9489,STOP
184,46.00,49.00,STOP,0.9739,STOP
185,46.25,49.25,STOP,0.9774,STOP
186,46.50,49.50,STOP,0.9857,STOP
187,46.75,49.75,STOP,0.9785,STOP
188,47.00,50.00,STOP,0.9730,STOP
189,47.25,50.25,STOP,0.9758,STOP
190,47.50,50.50,STOP,0.9753,STOP
191,47.75,50.75,STOP,0.9680,STOP
192,48.00,51.00,STOP,0.9612,STOP
193,48.25,51.25,STOP,0.9812,STOP
194,48.50,51.50,STOP,0.9935,STOP
195,48.75,51.75,STOP,0.9961,STOP
196,49.00,52.00,STOP,0.9974,STOP
197,49.25,52.25,STOP,0.9945,STOP
198,49.50,52.50,STOP,0.9864,STOP
199,49.75,52.75,STOP,0.9907,STOP
200,50.00,53.00,STOP,0.9911,STOP
201,50.25,53.25,STOP,0.9845,STOP
202,50.50,53.50,STOP,0.9736,STOP
203,50.75,53.75,STOP,0.9359,STOP
204,51.00,54.00,STOP,0.9212,STOP
205,51.25,54.25,STOP,0.9269,STOP
206,51.50,54.50,STOP,0.8880,STOP
207,51.75,54.75,STOP,0.8753,STOP
208,52.00,55.00,STOP,0.8588,STOP
209,52.25,55.25,STOP,0.9093,STOP
210,52.50,55.50,STOP,0.9166,STOP
211,52.75,55.75,STOP,0.9063,STOP
212,53.00,56.00,STOP,0.9716,STOP
213,53.25,56.25,STOP,0.9866,STOP
214,53.50,56.50,STOP,0.9756,STOP
215,53.75,56.75,STOP,0.9501,STOP
216,54.00,57.00,STOP,0.9779,STOP
217,54.25,57.25,STOP,0.9817,STOP
218,54.50,57.50,STOP,0.9913,STOP
219,54.75,57.75,STOP,0.9855,STOP
220,55.00,58.00,STOP,0.9784,STOP
221,55.25,58.25,STOP,0.9796,STOP
222,55.50,58.50,STOP,0.9822,STOP
223,55.75,58.75,STOP,0.9877,STOP
224,56.00,59.00,STOP,0.9863,STOP
225,56.25,59.25,STOP,0.9949,STOP
226,56.50,59.50,STOP,0.9979,STOP
227,56.75,59.75,STOP,0.9986,STOP
228,57.00,60.00,STOP,0.9984,STOP
229,57.25,60.25,STOP,0.9946,STOP
230,57.50,60.50,STOP,0.9843,WALK
231,57.75,60.75,STOP,0.8170,WALK
232,58.00,61.00,STOP,0.6174,WALK
233,58.25,61.25,STOP,0.8314,WALK
234,58.50,61.50,STOP,0.7619,WALK
235,58.75,61.75,STOP,0.6609,WALK
236,59.00,62.00,STOP,0.5179,WALK
237,59.25,62.25,WALK,0.7059,WALK
238,59.50,62.50,WALK,0.7478,WALK
239,59.75,62.75,WALK,0.6001,WALK
240,60.00,63.00,WALK,0.7124,WALK
241,60.25,63.25,WALK,0.8041,WALK
242,60.50,63.50,WALK,0.7084,WALK
243,60.75,63.75,WALK,0.6182,WALK
244,61.00,64.00,WALK,0.6208,WALK
245,61.25,64.25,WALK,0.8537,WALK
